title,Tall Khali,book_en_507_page_0_1.m4a,book_en_507_page_0,portrait,audio,
word,5.20806,5.70051,and,en-uk_and.m4a,0.2,
word,5.70051,6.22553,big,en-uk_big.m4a,0.2,
word,6.22553,6.94027,tires.,en-uk_tires.m4a,0.2,
sentence,book_en_507_page_7_3.m4a,18.188,
word,0,0.310329,When,en-uk_when.m4a,0.2,
word,0.310329,0.499974,he,en-uk_he.m4a,0.2,
word,0.499974,0.843006,sat,en-uk_sat.m4a,0.2,
word,0.843006,0.956174,on,en-uk_on.m4a,0.2,
word,0.956174,1.59362,"it,",en-uk_it.m4a,0.2,
word,1.59362,2.06913,Khali,en-uk_tumo.m4a,0.2,
word,2.06913,2.45138,found,en-uk_found.m4a,0.2,
word,2.45138,2.74115,that,en-uk_that.m4a,0.2,
word,2.74115,3.0936,both,en-uk_both.m4a,0.2,
word,3.0936,3.27294,of,en-uk_of.m4a,0.2,
word,3.27294,3.47686,his,en-uk_his.m4a,0.2,
word,3.47686,4.01878,legs,en-uk_legs.m4a,0.2,
word,4.01878,4.35088,fit,en-uk_fit.m4a,0.2,
word,4.35088,4.65187,on,en-uk_on.m4a,0.2,
word,4.65187,4.82583,the,en-uk_the.m4a,0.2,
word,4.82583,5.49922,bicycle,en-uk_bicycle.m4a,0.2,
word,5.49922,6.46964,easily.,en-uk_easily.m4a,0.2,
sentence,book_en_507_page_7_4.m4a,25.6576,
word,0,0.28386,The,en-uk_the.m4a,0.2,
word,0.28386,0.642219,new,en-uk_new.m4a,0.2,
word,0.642219,1.06911,bike,en-uk_bike.m4a,0.2,
word,1.06911,1.24247,was,en-uk_was.m4a,0.2,
word,1.24247,1.45544,the,en-uk_the.m4a,0.2,
word,1.45544,1.99392,perfect,en-uk_perfect.m4a,0.2,
