title,Let’s Learn About the Clock,book_en_424_page_0_1.m4a,book_en_424_page_0,portrait,audio,
word,0,0.333027,That,en-uk_that.m4a,0.2,
word,0.333027,0.63314,means,en-uk_means.m4a,0.2,
word,0.63314,0.866212,it,en-uk_it.m4a,0.2,
word,0.866212,0.982639,is,en-uk_is.m4a,0.2,
word,0.982639,1.33303,eleven,en-uk_eleven.m4a,0.2,
word,1.33303,1.93292,o’clock.,en-uk_o'clock.m4a,0.2,
page,14,book_en_424_page_14,wordwrap,
paragraph
sentence,book_en_424_page_14_1.m4a,0,
word,0,0.267033,The,en-uk_the.m4a,0.2,
word,0.267033,0.56027,long,en-uk_long.m4a,0.2,
word,0.56027,0.851589,hand,en-uk_hand.m4a,0.2,
word,0.851589,1.00041,is,en-uk_is.m4a,0.2,
word,1.00041,1.35064,pointing,en-uk_pointing.m4a,0.2,
word,1.35064,1.5003,at,en-uk_at.m4a,0.2,
word,1.5003,1.61715,the,en-uk_the.m4a,0.2,
word,1.61715,2.20029,12.,en-uk_12.m4a,0.2,
sentence,book_en_424_page_14_2.m4a,3.22751,
word,0,0.299949,The,en-uk_the.m4a,0.2,
word,0.299949,0.602073,short,en-uk_short.m4a,0.2,
word,0.602073,0.833305,hand,en-uk_hand.m4a,0.2,
word,0.833305,1.00013,is,en-uk_is.m4a,0.2,
word,1.00013,1.33317,pointing,en-uk_pointing.m4a,0.2,
word,1.33317,1.51658,at,en-uk_at.m4a,0.2,
word,1.51658,1.68325,the,en-uk_the.m4a,0.2,
word,1.68325,2.09993,"12,",en-uk_12.m4a,0.2,
word,2.09993,2.71662,too!,en-uk_too.m4a,0.2,
paragraph
sentence,book_en_424_page_14_3.m4a,6.99125,
word,0,0.349809,That,en-uk_that.m4a,0.2,
word,0.349809,0.683143,means,en-uk_means.m4a,0.2,
word,0.683143,0.833116,it,en-uk_it.m4a,0.2,
word,0.833116,0.951834,is,en-uk_is.m4a,0.2,
word,0.951834,1.41648,twelve,en-uk_twelve.m4a,0.2,
word,1.41648,1.98289,o’clock.,en-uk_o'clock.m4a,0.2,
